year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points,round_order,is_finals,margin,margin_category
2024,22,Round 22,2024-08-04,Panthers,22,Knights,14,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-22/panthers-v-knights/,1,8,36,22,0,8,Competitive (7-12)
2024,22,Round 22,2024-08-04,Bulldogs,22,Raiders,18,Belmore Sports Ground,https://www.nrl.com/draw/nrl-premiership/2024/round-22/bulldogs-v-raiders/,1,4,40,22,0,4,Close (1-6)
2024,23,Round 23,2024-08-08,Rabbitohs,16,Storm,28,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/rabbitohs-v-storm/,0,-12,44,23,0,12,Competitive (7-12)
2024,23,Round 23,2024-08-09,Titans,0,Sharks,44,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/titans-v-sharks/,0,-44,44,23,0,44,Blowout (25+)
2024,23,Round 23,2024-08-09,Eels,34,Panthers,36,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/eels-v-panthers/,0,-2,70,23,0,2,Close (1-6)
2024,23,Round 23,2024-08-10,Raiders,24,Sea Eagles,46,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/raiders-v-sea-eagles/,0,-22,70,23,0,22,Comfortable (13-24)
2024,23,Round 23,2024-08-10,Cowboys,18,Broncos,42,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/cowboys-v-broncos/,0,-24,60,23,0,24,Comfortable (13-24)
2024,23,Round 23,2024-08-10,Dragons,10,Bulldogs,28,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/dragons-v-bulldogs/,0,-18,38,23,0,18,Comfortable (13-24)
2024,23,Round 23,2024-08-11,Dolphins,34,Warriors,32,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/dolphins-v-warriors/,1,2,66,23,0,2,Close (1-6)
2024,23,Round 23,2024-08-11,Knights,34,Wests Tigers,18,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/knights-v-wests-tigers/,1,16,52,23,0,16,Comfortable (13-24)
2024,24,Round 24,2024-08-15,Panthers,22,Storm,24,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/panthers-v-storm/,0,-2,46,24,0,2,Close (1-6)
2024,24,Round 24,2024-08-16,Sea Eagles,24,Warriors,10,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-24/sea-eagles-v-warriors/,1,14,34,24,0,14,Comfortable (13-24)
