year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2024,23,Round 23,2024-08-11 06:05:00+00:00,Knights,34,Wests Tigers,18,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-23/knights-v-wests-tigers/,1,16,52
2024,24,Round 24,2024-08-15 09:50:00+00:00,Panthers,22,Storm,24,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/panthers-v-storm/,0,-2,46
2024,24,Round 24,2024-08-16 08:00:00+00:00,Sea Eagles,24,Warriors,10,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-24/sea-eagles-v-warriors/,1,14,34
2024,24,Round 24,2024-08-16 10:00:00+00:00,Roosters,38,Eels,14,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/roosters-v-eels/,1,24,52
2024,24,Round 24,2024-08-17 05:00:00+00:00,Bulldogs,30,Dolphins,10,Salter Oval,https://www.nrl.com/draw/nrl-premiership/2024/round-24/bulldogs-v-dolphins/,1,20,40
2024,24,Round 24,2024-08-17 07:30:00+00:00,Cowboys,42,Raiders,4,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/cowboys-v-raiders/,1,38,46
2024,24,Round 24,2024-08-17 09:35:00+00:00,Wests Tigers,18,Rabbitohs,16,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/wests-tigers-v-rabbitohs/,1,2,34
2024,24,Round 24,2024-08-18 04:00:00+00:00,Dragons,32,Titans,16,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/dragons-v-titans/,1,16,48
2024,24,Round 24,2024-08-18 06:05:00+00:00,Sharks,19,Knights,18,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/sharks-v-knights/,1,1,37
2024,25,Round 25,2024-08-22 09:50:00+00:00,Wests Tigers,34,Sea Eagles,26,Leichhardt Oval,https://www.nrl.com/draw/nrl-premiership/2024/round-25/wests-tigers-v-sea-eagles/,1,8,60
2024,25,Round 25,2024-08-23 08:00:00+00:00,Warriors,18,Bulldogs,34,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/warriors-v-bulldogs/,0,-16,52
2024,25,Round 25,2024-08-23 10:00:00+00:00,Broncos,30,Eels,24,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/broncos-v-eels/,1,6,54
2024,25,Round 25,2024-08-24 05:00:00+00:00,Raiders,22,Panthers,18,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/raiders-v-panthers/,1,4,40
2024,25,Round 25,2024-08-24 07:30:00+00:00,Storm,48,Dolphins,6,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/round-25/storm-v-dolphins/,1,42,54
2024,25,Round 25,2024-08-24 09:35:00+00:00,Rabbitohs,16,Knights,36,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/rabbitohs-v-knights/,0,-20,52
2024,25,Round 25,2024-08-25 04:00:00+00:00,Titans,22,Roosters,48,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/titans-v-roosters/,0,-26,70
2024,25,Round 25,2024-08-25 06:05:00+00:00,Dragons,10,Sharks,38,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/dragons-v-sharks/,0,-28,48
