year,round,match,home_team,away_team,ground_condition,weather,main_ref,first_try_scorer,first_try_minute,first_try_team,home_tries,home_run_metres,home_all_runs,home_post_contact_metres,home_kick_metres,home_kick_return_metres,home_line_breaks,home_tackle_breaks,home_missed_tackles,home_tackles_made,home_errors,home_offloads,home_penalties,home_completion_rate,home_effective_tackle,home_play_ball_speed,home_avg_set_distance,home_kicks,home_bombs,home_grubbers,home_intercepts,home_conversion_rate,home_kick_defusal,home_dummy_passes,home_sin_bins,away_tries,away_run_metres,away_all_runs,away_post_contact_metres,away_kick_metres,away_kick_return_metres,away_line_breaks,away_tackle_breaks,away_missed_tackles,away_tackles_made,away_errors,away_offloads,away_penalties,away_completion_rate,away_effective_tackle,away_play_ball_speed,away_avg_set_distance,away_kicks,away_bombs,away_grubbers,away_intercepts,away_conversion_rate,away_kick_defusal,away_dummy_passes,away_sin_bins,diff_tries,diff_run_metres,diff_all_runs,diff_post_contact_metres,diff_kick_metres,diff_kick_return_metres,diff_line_breaks,diff_tackle_breaks,diff_missed_tackles,diff_tackles_made,diff_errors,diff_offloads,diff_penalties,diff_completion_rate,diff_effective_tackle,diff_play_ball_speed,diff_avg_set_distance,diff_kicks,diff_bombs,diff_grubbers,diff_intercepts,diff_conversion_rate,diff_kick_defusal,diff_dummy_passes,diff_sin_bins
2021,2,Titans v Broncos,Titans,Broncos,Good,,Matt Cecchin,Jarrod Wallace,19',titans,5.0,1500.0,154.0,438.0,443.0,167.0,5.0,31.0,31.0,321.0,15.0,9.0,2.0,73.0,86.29,3.25,39.5,19.0,4.0,5.0,1.0,0.8,64.0,14.0,,3.0,1767.0,201.0,536.0,365.0,208.0,4.0,31.0,31.0,299.0,17.0,12.0,1.0,65.0,86.42,3.8,44.19,19.0,4.0,4.0,0.0,0.6666666666666666,57.0,7.0,,2.0,-267.0,-47.0,-98.0,78.0,-41.0,1.0,0.0,0.0,22.0,-2.0,-3.0,1.0,8.0,-0.12999999999999545,-0.5499999999999998,-4.689999999999998,0.0,0.0,1.0,1.0,0.13333333333333341,7.0,7.0,
2021,2,Bulldogs v Panthers,Bulldogs,Panthers,Slippery,Rain,Peter Gough,Viliame Kikau,0',panthers,0.0,1010.0,133.0,380.0,698.0,96.0,1.0,21.0,40.0,424.0,5.0,6.0,4.0,82.0,90.6,3.25,34.83,21.0,1.0,2.0,4.0,0.0,50.0,4.0,1.0,5.0,1700.0,182.0,645.0,668.0,362.0,5.0,39.0,21.0,303.0,1.0,4.0,1.0,88.0,90.18,3.63,40.48,26.0,4.0,10.0,12.0,0.75,67.0,14.0,0.0,-5.0,-690.0,-49.0,-265.0,30.0,-266.0,-4.0,-18.0,19.0,121.0,4.0,2.0,3.0,-6.0,0.4199999999999875,-0.3799999999999999,-5.649999999999999,-5.0,-3.0,-8.0,-8.0,-0.75,-17.0,-10.0,1.0
2021,2,Sea Eagles v Rabbitohs,Sea Eagles,Rabbitohs,Slippery,,Gerard Sutton,Lachlan Croker,26',sea-eagles,2.0,1456.0,175.0,474.0,560.0,176.0,3.0,17.0,341.0,6.0,13.0,12.0,4.0,69.0,88.34,3.22,34.68,21.0,0.0,3.0,35.0,1.0,38.0,8.0,0.0,5.0,1534.0,175.0,481.0,691.0,160.0,5.0,35.0,364.0,7.0,13.0,6.0,5.0,72.0,89.88,3.69,38.36,26.0,1.0,2.0,17.0,0.6,73.0,13.0,2.0,-3.0,-78.0,0.0,-7.0,-131.0,16.0,-2.0,-18.0,-23.0,-1.0,0.0,6.0,-1.0,-3.0,-1.539999999999992,-0.46999999999999975,-3.6799999999999997,-5.0,-1.0,1.0,18.0,0.4,-35.0,-5.0,-2.0
2021,2,Cowboys v Dragons,Cowboys,Dragons,Fair,,Ben Cummins,Mikaele Ravalawa,10',dragons,3.0,1624.0,196.0,527.0,502.0,262.0,1.0,27.0,32.0,347.0,13.0,10.0,3.0,76.0,86.53,3.69,38.67,24.0,5.0,6.0,1.0,1.0,50.0,8.0,6.0,4.0,1434.0,183.0,428.0,630.0,140.0,6.0,32.0,27.0,348.0,12.0,15.0,2.0,70.0,89.92,3.69,34.99,18.0,3.0,0.0,0.0,1.0,60.0,8.0,13.0,-1.0,190.0,13.0,99.0,-128.0,122.0,-5.0,-5.0,5.0,-1.0,1.0,-5.0,1.0,6.0,-3.3900000000000006,0.0,3.6799999999999997,6.0,2.0,6.0,1.0,0.0,-10.0,0.0,-7.0
2021,2,Wests Tigers v Roosters,Wests Tigers,Roosters,Fair,,Adam Gee,Jacob Liddle,17',wests-tigers,1.0,1311.0,154.0,424.0,443.0,118.0,2.0,31.0,34.0,379.0,11.0,8.0,3.0,81.0,88.34,3.6,35.44,17.0,2.0,2.0,0.0,1.0,57.0,3.0,,7.0,1860.0,211.0,543.0,606.0,158.0,7.0,34.0,31.0,325.0,8.0,13.0,3.0,84.0,87.13,3.73,41.34,25.0,9.0,4.0,1.0,0.8571428571428571,83.0,16.0,,-6.0,-549.0,-57.0,-119.0,-163.0,-40.0,-5.0,-3.0,3.0,54.0,3.0,-5.0,0.0,-3.0,1.210000000000008,-0.1299999999999999,-5.900000000000006,-8.0,-7.0,-2.0,-1.0,0.1428571428571429,-26.0,-13.0,
2021,2,Sharks v Raiders,Sharks,Raiders,Fair,,Chris Sutton,Sebastian Kris,23',raiders,2.0,1665.0,183.0,670.0,485.0,226.0,1.0,20.0,48.0,324.0,17.0,7.0,2.0,62.0,84.82,3.53,38.74,20.0,4.0,7.0,0.0,0.0,60.0,8.0,,2.0,1534.0,167.0,636.0,577.0,150.0,6.0,48.0,20.0,319.0,13.0,5.0,5.0,75.0,90.63,3.36,37.43,19.0,4.0,3.0,1.0,1.0,78.0,5.0,0.0,0.0,131.0,16.0,34.0,-92.0,76.0,-5.0,-28.0,28.0,5.0,4.0,2.0,-3.0,-13.0,-5.810000000000002,0.16999999999999993,1.3100000000000023,1.0,0.0,4.0,-1.0,-1.0,-18.0,3.0,
2021,3,Panthers v Storm,Panthers,Storm,Good,,Grant Atkins,Charlie Staines,29',panthers,2.0,1551.0,187.0,453.0,788.0,178.0,4.0,32.0,25.0,369.0,11.0,10.0,1.0,76.0,90.22,3.42,36.07,26.0,5.0,7.0,0.0,1.0,75.0,3.0,,2.0,1601.0,193.0,511.0,708.0,203.0,4.0,25.0,34.0,316.0,11.0,8.0,3.0,74.0,87.53,3.91,41.06,25.0,6.0,2.0,1.0,0.5,64.0,9.0,0.0,0.0,-50.0,-6.0,-58.0,80.0,-25.0,0.0,7.0,-9.0,53.0,0.0,2.0,-2.0,2.0,2.6899999999999977,-0.4900000000000002,-4.990000000000002,1.0,-1.0,5.0,-1.0,0.5,11.0,-6.0,
2021,3,Dragons v Sea Eagles,Dragons,Sea Eagles,Good,,Chris Sutton,Reuben Garrick,36',sea-eagles,6.0,1553.0,172.0,501.0,811.0,167.0,5.0,28.0,34.0,330.0,8.0,6.0,2.0,87.0,84.62,3.86,39.82,26.0,8.0,4.0,1.0,1.0,50.0,4.0,18.0,2.0,1692.0,198.0,530.0,490.0,223.0,4.0,34.0,28.0,353.0,13.0,18.0,2.0,65.0,90.98,4.1,44.53,21.0,5.0,6.0,0.0,1.0,38.0,22.0,6.0,4.0,-139.0,-26.0,-29.0,321.0,-56.0,1.0,-6.0,6.0,-23.0,-5.0,-12.0,0.0,22.0,-6.359999999999999,-0.23999999999999977,-4.710000000000001,5.0,3.0,-2.0,1.0,0.0,12.0,-18.0,12.0
2021,3,Rabbitohs v Roosters,Rabbitohs,Roosters,Good,,Ashley Klein,James Tedesco,47',roosters,4.0,1597.0,184.0,523.0,475.0,226.0,4.0,27.0,20.0,324.0,1.0,7.0,1.0,76.0,89.5,3.31,34.72,18.0,4.0,4.0,18.0,0.75,62.0,12.0,0.0,3.0,1264.0,150.0,417.0,503.0,137.0,2.0,20.0,27.0,403.0,6.0,11.0,6.0,75.0,90.97,3.47,38.32,21.0,5.0,5.0,13.0,0.6666666666666666,83.0,7.0,1.0,1.0,333.0,34.0,106.0,-28.0,89.0,2.0,7.0,-7.0,-79.0,-5.0,-4.0,-5.0,1.0,-1.4699999999999989,-0.16000000000000014,-3.6000000000000014,-3.0,-1.0,-1.0,5.0,0.08333333333333337,-21.0,5.0,-1.0
2021,3,Raiders v Warriors,Raiders,Warriors,Good,Fine,Drew Oultram,Jack Wighton,15',raiders,5.0,1612.0,179.0,657.0,684.0,114.0,5.0,24.0,32.0,344.0,1.0,3.0,5.0,84.0,84.94,3.52,41.34,22.0,4.0,3.0,29.0,1.0,91.0,14.0,25.0,6.0,1903.0,188.0,801.0,381.0,231.0,8.0,32.0,24.0,334.0,5.0,20.0,2.0,75.0,91.76,3.26,46.43,16.0,7.0,3.0,6.0,0.8333333333333334,57.0,25.0,6.0,-1.0,-291.0,-9.0,-144.0,303.0,-117.0,-3.0,-8.0,8.0,10.0,-4.0,-17.0,3.0,9.0,-6.820000000000007,0.26000000000000023,-5.089999999999996,6.0,-3.0,0.0,23.0,0.16666666666666663,34.0,-11.0,19.0
